Frame Number,Start Sample No.,End Sample No.,dB ,Zero Crossing Number,Standard Deviation,block,vertical line,horizontal line,line with angles,curve,oscillation,High Freq,Middle Freq,Low Freq
84,42497,43008,-56.359,43,8.5012,0,0,0,0,0,0,0,0,0
85,43009,43520,-55.026,42,9.9637,0,0,0,0,0,0,0,0,0
86,43521,44032,-55.363,40,11.28,0,0,0,0,0,0,0,0,0
87,44033,44544,-56.394,47,10.241,1,0,0,0,0,0,0,0,1
88,44545,45056,-58.498,55,7.6961,1,0,0,0,0,0,0,0,1
89,45057,45568,-56.815,45,8.2407,1,0,0,0,0,0,0,0,1
90,45569,46080,-55.661,41,11.107,0,0,0,0,0,0,0,0,0
91,46081,46592,-54.835,44,9.3273,0,0,0,0,0,0,0,0,0
92,46593,47104,-53.597,32,13.039,0,0,0,0,0,0,0,0,0
93,47105,47616,-57.515,56,7.4843,0,0,0,0,0,0,0,0,0
94,47617,48128,-57.695,57,7.4255,0,0,0,0,0,0,0,0,0
95,48129,48640,-55.102,42,10.695,0,0,0,0,0,0,0,0,0
96,48641,49152,-57.066,46,9.1837,1,0,0,0,0,0,0,0,1
97,49153,49664,-58.276,50,8.1321,1,1,0,0,0,0,1,0,1
98,49665,50176,-58.616,80,6.5925,1,1,0,0,0,0,1,0,1
99,50177,50688,-56.003,41,11.235,0,1,0,0,0,0,1,0,0
100,50689,51200,-55.334,39,11.252,0,0,0,0,0,0,0,0,0
101,51201,51712,-56.675,48,8.5883,0,0,0,0,0,0,0,0,0
102,51713,52224,-53.767,37,11.926,0,0,0,0,0,0,0,0,0
103,52225,52736,-53.746,36,11.782,0,0,0,0,0,0,0,0,0
104,52737,53248,-56.846,49,9.5718,0,0,0,0,0,0,0,0,0
105,53249,53760,-56.153,56,8.9712,0,0,0,0,0,0,0,0,0
106,53761,54272,-59.096,80,5.0093,1,0,0,0,0,0,0,0,1
107,54273,54784,-58.804,71,4.9599,1,0,0,0,0,0,0,0,1
108,54785,55296,-56.813,51,9.4293,1,0,0,0,0,0,0,0,1
109,55297,55808,-58.437,54,7.5522,0,0,0,0,0,0,0,0,0
110,55809,56320,-56.814,44,9.2245,0,0,0,0,0,0,0,0,0
111,56321,56832,-56.188,39,10.058,0,0,0,0,0,0,0,0,0
112,56833,57344,-57.282,43,8.9304,0,0,0,0,0,0,0,0,0
113,57345,57856,-57.997,48,9.4636,0,0,0,0,0,0,0,0,0
114,57857,58368,-54.359,37,11.066,0,0,0,0,0,0,0,0,0
115,58369,58880,-56.033,43,9.0483,1,0,0,0,0,0,0,0,1
116,58881,59392,-55.836,40,9.9987,1,0,0,0,0,0,0,0,1
117,59393,59904,-50.963,26,12.388,1,0,0,0,0,0,0,0,1
118,59905,60416,-51.293,28,12.336,1,0,0,0,0,0,0,0,1
119,60417,60928,-54.118,46,9.7682,0,0,0,0,0,0,0,0,0
120,60929,61440,-51.632,23,11.153,0,0,0,0,0,0,0,0,0
121,61441,61952,-52.045,31,12.59,0,0,0,0,0,0,0,0,0
122,61953,62464,-57.097,48,8.1448,0,0,0,0,0,0,0,0,0
123,62465,62976,-56.513,35,10.808,0,0,0,0,0,0,0,0,0
124,62977,63488,-52.791,30,12.435,0,0,0,0,0,0,0,0,0
