@relation 'Acoustic Analysis (Time Domain)-weka.filters.unsupervised.attribute.Remove-R1-3,13-15-weka.filters.unsupervised.attribute.Remove-R2-3'

@attribute 'dB ' numeric
@attribute block numeric
@attribute 'vertical line' numeric
@attribute 'horizontal line' numeric
@attribute 'line with angles' numeric
@attribute curve numeric
@attribute oscillation numeric

@data
-58.794,0,0,0,0,0,0
-54.642,0,0,0,0,0,0
-57.023,0,0,0,0,0,0
-57.76,0,0,0,0,0,0
-56.903,0,0,0,0,0,0
-54.817,0,0,0,0,0,0
-54.811,1,0,1,0,0,0
-55.272,1,0,1,0,0,0
-51.674,1,0,1,0,0,0
-48.898,0,0,1,0,0,0
-47.27,0,0,1,0,0,0
-46.022,0,0,1,0,0,0
-51.705,0,0,1,0,0,0
-56.915,0,0,1,0,0,0
-54.234,0,0,1,0,0,0
-58.571,0,0,0,0,0,0
-56.134,1,0,0,0,0,0
-55.431,1,0,0,0,0,0
-55.585,1,0,0,0,0,0
-52.549,0,0,0,0,0,0
-56.864,0,0,0,0,0,0
-58.587,0,0,0,0,0,0
-58.49,0,0,0,0,0,0
-58.29,0,0,1,0,0,0
-56,0,0,1,0,0,0
-49.204,0,0,1,0,0,0
-46.26,0,0,1,0,0,0
-43.059,0,0,1,0,0,0
-41.414,0,0,1,0,0,0
-39.461,1,1,1,0,0,0
-40.319,1,1,1,0,0,0
-42.58,1,1,1,0,0,0
-47.381,0,0,1,0,0,0
-54.615,0,0,1,0,0,0
-53.138,0,0,1,0,0,0
-53.587,0,0,1,0,0,0
-51.018,0,0,1,0,0,0
-56.239,1,0,1,0,0,0
-50.907,1,0,1,0,0,0
-50.311,1,0,1,0,0,0
-51.129,0,0,1,0,0,0
-52.62,0,0,1,0,0,0
-56.689,0,0,1,0,0,0
-58.897,0,0,1,0,0,0
-53.368,0,0,1,0,0,0
-49.804,0,0,1,0,0,0
-52.518,0,0,1,0,0,0
-49.078,0,0,1,0,0,0
-54.634,0,0,1,0,0,0
-56.439,0,0,0,0,0,0
-56.097,0,0,1,0,0,0
-52.724,0,0,1,0,0,0
-45.927,0,0,1,0,0,0
-44.783,0,0,1,0,0,0
-46.091,1,0,1,0,0,0
-42.72,1,0,1,1,0,0
-49.051,1,0,1,1,0,0
-51.252,1,0,1,1,0,0
-54.379,1,0,1,1,0,0
-54.337,0,0,0,1,0,0
-53.376,0,0,0,1,0,0
-55.249,0,0,0,1,0,0
-55.317,0,0,0,1,0,0
-55.1,0,0,0,1,0,0
-55.706,0,0,0,0,0,0
-52.873,0,0,0,0,1,0
-49.296,0,0,0,0,1,0
-52.224,0,0,0,0,1,0
-50.596,0,0,0,0,1,0
-47.579,0,0,0,0,1,0
-50.911,0,0,0,0,1,0
-49.61,0,0,0,0,1,0
-52.952,0,0,0,0,1,0
-54.189,0,0,0,0,1,0
-55.131,0,0,0,1,1,0
-52.752,0,0,0,1,1,0
-54.525,0,0,0,1,1,0
-56.817,0,0,0,0,1,0
-55.024,0,0,0,0,1,0
-53.819,0,0,0,0,1,0
-53.969,0,0,0,0,1,0
-54.649,0,0,0,0,1,0
-49.019,0,0,0,0,1,0
-49.351,0,0,0,0,1,0
-47.26,0,1,0,0,1,0
-53.134,0,1,0,0,1,0
-54.086,0,1,0,0,1,0
-54.637,0,0,0,0,1,0
-52.7,0,0,0,0,1,0
-50.453,0,0,0,0,1,0
-55.216,0,0,0,0,1,0
-56.899,0,0,0,0,1,0
-56.182,0,0,0,0,0,0
-57.4,0,0,0,0,0,0
-52.811,0,0,0,0,0,0
-54.171,1,0,0,0,0,0
-53.358,1,0,0,0,0,0
-55.607,1,0,0,0,0,0
-54.681,1,0,0,0,0,0
-53.387,1,0,0,0,0,0
-50.374,1,0,0,0,0,0
-54.965,1,0,0,0,0,0
-54.446,1,0,0,0,0,0
-55.693,1,0,0,0,0,0
-56.463,0,0,0,0,0,0
-54.555,0,0,1,0,0,0
-52.647,0,0,1,0,0,0
-55.896,0,0,1,0,0,0
-55.51,0,0,1,0,0,0
-54.687,1,0,0,0,0,0
-55.165,1,0,0,0,0,0
-55.053,1,0,0,0,0,0
-53.147,0,1,0,0,0,0
-54.264,0,1,0,0,0,0
-55.881,0,1,0,0,0,0
-52.657,0,1,0,0,0,0
-54.506,0,0,0,0,0,0
-51.606,0,0,0,0,0,0
-55.362,0,0,0,0,0,0
-55.515,0,0,0,0,0,0
-57.171,0,0,0,0,0,0
-54.876,0,0,0,0,0,0
-54.297,0,0,0,0,0,0
-57.166,0,0,0,0,0,0
-53.361,0,0,0,0,0,0
-57.647,0,0,0,0,0,0
-54.925,0,0,0,0,0,0
-53.766,0,0,0,0,0,0
-57.515,0,0,0,0,0,0
-56.824,0,0,0,0,0,0
-55.392,0,0,0,1,0,0
-55.282,0,0,0,1,0,0
-56.527,0,0,0,1,0,0
-53.96,0,0,0,1,0,0
-55.63,0,0,0,0,0,0
-56.225,0,0,0,0,0,0
-56.553,0,0,0,0,0,0
-58.636,0,0,0,0,0,0
-57.012,0,0,0,0,0,0
-54.475,0,1,0,0,0,0
-51.242,0,1,0,0,0,0
-54.906,0,1,0,0,0,0
-52.943,0,1,0,0,0,0
-55.583,0,1,0,0,0,0
-54.505,0,0,0,0,0,0
-50.778,0,0,0,0,0,0
-56.271,0,0,0,0,0,0
-56.184,0,0,0,0,0,0
-54.61,0,1,0,0,0,0
-52.804,0,1,0,0,0,0
-54.741,0,1,0,0,0,0
-55.994,0,1,0,0,0,0
-53.099,0,1,0,0,0,0
-54.166,0,1,0,0,0,0
-56.838,0,1,0,0,0,0
-55.063,0,1,0,0,0,0
-57.71,0,1,0,0,0,0
-53.999,0,1,0,0,0,0
-55.695,0,1,0,0,0,0
-54.776,0,1,0,0,0,1
-55.528,0,0,0,0,0,1
-50.764,0,0,0,0,0,1
-54.241,0,0,0,0,0,1
-55.41,0,0,0,0,0,1
-52.08,0,0,0,0,0,1
-54.864,0,0,0,0,0,1
-51.513,0,0,0,0,0,1
-57.193,0,0,0,0,0,1
-52.987,0,0,0,0,0,1
-50.303,0,0,0,0,0,1
-54.745,0,0,0,0,0,1
-53.994,0,0,0,0,0,1
-52.894,0,0,0,0,0,1
-53.478,0,0,0,0,0,1
-52.201,0,0,0,0,0,1
-53.52,0,0,0,0,0,1
-52.769,0,0,0,0,0,1
-52.046,0,0,0,0,0,1
-47.458,0,0,0,0,0,1
-53.807,0,0,0,0,0,1
-54.017,0,0,0,0,0,1
-53.821,0,0,0,0,0,1
-54.503,0,0,0,0,0,1
-55.849,0,0,0,0,0,1
-54.122,0,0,0,0,0,1
-50.816,0,0,0,0,0,1
-56.35,0,0,0,0,0,1
-53.071,0,0,0,0,0,1
-50.134,0,0,0,0,0,1
-54.017,0,0,0,0,0,1
-52.625,0,1,0,0,0,1
-49.837,0,1,0,0,0,1
-51.73,0,1,0,0,0,1
-53.096,0,1,0,0,0,1
-55.744,0,1,0,0,0,1
-55.968,0,1,0,0,0,1
-55.156,0,1,0,0,0,1
-55.675,0,0,0,0,0,1
-55.318,0,0,0,0,0,1
-53.293,0,0,0,0,0,0
-55.135,0,0,0,0,0,0
-51.819,0,0,0,0,0,0
-53.167,0,0,0,0,0,0
-53.665,0,0,0,0,0,0
-54.242,0,0,0,0,0,0
-54.976,0,0,0,0,0,0
-51.299,0,0,0,0,0,0
-54.138,0,0,0,0,0,0
-57.319,0,0,0,0,0,0
-57.775,0,0,0,0,0,0
-55.435,0,0,0,0,0,0
-52.526,0,0,0,0,0,0
-54.893,0,0,0,0,0,0
-56.878,0,0,0,0,0,0
-54.339,0,0,0,0,0,0
-57.908,0,0,0,0,0,0
-57.372,0,0,0,0,0,0
-54.537,0,0,0,0,0,0
-56.225,0,0,0,0,0,0
-55.256,0,0,0,0,0,0
-56.641,0,0,0,0,0,0
-53.281,0,0,0,0,0,0
-52.289,0,0,0,0,0,0
-53.955,0,0,0,0,0,0
-51.405,0,0,0,0,0,0
-56.107,0,0,0,0,0,0
-55.743,0,0,0,0,0,0
-55.81,0,0,0,0,0,0
-49.967,0,0,0,0,0,0
-52.119,0,0,0,0,0,0
-51.06,0,0,0,0,0,0
-54.911,0,0,0,0,0,0
-55.848,0,0,0,0,0,0
-55.614,0,0,0,0,0,0
-55.397,0,0,0,0,0,0
-54.179,0,0,0,0,0,0
-53.554,0,0,0,0,0,0
-54.744,0,1,0,0,0,0
-52.944,0,1,0,0,0,0
-53.947,0,1,0,0,0,0
-56.987,0,1,0,0,0,0
-52.275,0,1,0,0,0,0
-55.075,0,0,0,0,0,0
-56.021,0,0,0,0,0,0
-53.532,0,0,0,0,0,0
-53.452,0,0,0,0,0,0
-54.703,0,0,0,0,0,0
-57.837,0,0,0,0,0,0
-55.124,0,0,0,0,0,0
-55.523,0,1,0,0,0,0
-53.971,0,1,0,0,0,0
-54.624,0,1,0,0,0,0
-54.862,0,0,0,0,0,0
-55.299,0,0,0,0,0,0
-55.579,0,0,0,0,0,0
-55.81,0,0,0,0,0,0
-54.618,0,0,0,0,0,0
-56.463,0,0,0,0,0,0
-56.159,0,0,0,0,0,0
-53.633,0,0,0,0,0,0
-54.659,0,0,0,0,0,0
-53.903,0,0,0,0,0,0
-55.761,0,0,0,0,0,0
-54.81,0,0,0,0,0,0
-55.082,0,0,0,0,0,0
-55.696,0,0,0,0,0,0
-56.334,0,0,0,0,0,0
-55.497,0,0,0,0,0,0
-55.991,0,0,0,0,0,0
-55.929,0,0,0,0,0,0
-54.089,0,0,0,0,0,0
-57.911,0,0,0,0,0,0
-54.913,0,0,0,0,0,0
-57.681,0,0,0,0,0,0
-55.675,0,0,0,0,0,0
-54.762,0,0,0,0,0,0
-55.498,0,0,0,0,0,0
-57.579,0,0,0,0,0,0
-54.987,0,0,0,0,0,0
-57.392,0,0,0,0,0,0
-56.687,0,0,0,0,0,0
-58.684,0,0,0,0,0,0
-55.963,0,0,0,0,0,0
-56.88,0,0,0,0,0,0
-58.94,0,0,0,0,0,0
-53.203,0,0,0,0,0,0
-54.551,0,0,0,0,0,0
-54.21,0,0,0,0,0,0
-55.199,0,0,0,0,0,0
-57.421,0,0,0,0,0,0
-56.432,0,0,0,0,0,0
-57.147,0,0,0,0,0,0
-56.493,0,0,0,0,0,0
-55.374,0,0,0,0,0,0
-55.536,0,0,0,0,0,0
-54.332,0,0,0,0,0,0
-59.077,0,0,0,0,0,0
-56.216,0,0,0,0,0,0
-56.649,0,0,0,0,0,0
-55.077,0,0,0,0,0,0
-57.893,0,0,0,0,0,0
-59.53,0,0,0,0,0,0
-56.724,0,0,0,0,0,0
-55.81,0,0,0,0,0,0
-58.09,0,1,0,0,0,0
-52.948,0,1,0,0,0,0
-57.932,0,1,0,0,0,0
-55.784,0,1,0,0,0,0
-57.256,0,0,0,0,0,0
-54.945,0,0,0,0,0,0
-57.239,0,0,0,0,0,0
-56.747,0,0,0,0,0,0
-54.51,0,0,0,0,0,0
-54.803,0,0,0,0,0,0
-56.073,0,0,0,0,0,0
-59.747,0,0,0,0,0,0
-54.305,0,0,0,0,0,0
-55.762,0,0,0,0,0,0
-56.295,0,0,0,0,0,1
-55.474,0,0,0,0,0,1
-51.31,0,0,0,0,0,1
-53.764,0,0,0,0,0,1
-58.21,0,0,0,0,0,1
-57.682,0,0,0,0,0,1
-56.292,0,0,0,0,0,1
-56.506,0,0,0,0,0,1
-57.185,0,0,0,0,0,1
-50.983,0,0,0,0,0,1
-54.56,0,0,0,0,0,1
-57.203,0,0,0,0,0,1
-56.422,0,0,0,0,0,1
-58.388,0,0,0,0,0,1
-54.968,0,0,0,0,0,1
-53.261,0,0,0,0,0,1
-56.78,0,0,0,0,0,1
-55.857,0,0,0,0,0,1
-57.903,0,0,0,0,0,1
-53.792,0,0,0,0,0,1
-55.286,0,0,0,0,0,1
-53.509,0,0,0,0,0,1
-51.59,0,0,0,0,0,1
-54.203,0,0,0,0,0,1
-54.848,0,0,0,0,0,1
-54.231,0,0,0,0,0,1
-55.717,0,0,0,0,0,1
-54.528,0,0,0,0,0,1
-52.512,0,0,0,0,0,1
-55.342,0,0,0,0,0,1
-50.624,0,0,0,0,0,1
-54.949,0,0,0,0,0,1
-55.933,0,0,0,0,0,1
-54.274,0,0,0,0,0,1
-53.812,0,0,0,0,0,1
-56.885,0,0,0,0,0,1
-58.575,0,0,0,0,0,1
-56.411,0,0,0,0,0,1
-50.995,0,0,0,0,0,1
-51.568,0,0,0,0,0,1
-55.505,0,0,0,0,0,1
-54.696,0,0,0,0,0,1
-54.608,0,1,0,0,0,1
-55.762,0,1,0,0,0,1
-55.121,0,1,0,0,0,1
-58.619,0,0,0,0,0,1
-53.074,0,0,0,0,0,1
-50.786,0,0,0,0,0,1
-55.675,0,0,0,0,0,1
-56.105,0,0,0,0,0,1
-54.173,0,0,0,0,0,1
-55.458,0,0,0,0,0,1
-56.711,0,0,0,0,0,1
-56.581,0,0,0,0,0,1
-54.347,0,0,0,0,0,1
-46.95,0,0,0,0,0,1
-54.474,0,0,0,0,0,1
-54.766,0,0,0,0,0,1
-55.668,0,0,1,0,0,1
-53.938,0,0,1,0,0,1
-53.791,0,0,1,0,0,1
-52.429,0,0,1,0,0,1
-49.966,0,0,1,0,0,1
-50.716,0,0,1,0,0,1
-50.29,0,0,1,0,0,1
-54.599,0,0,0,0,0,1
-56.029,0,0,0,0,0,1
-55.339,0,0,0,0,0,1
-55.894,0,0,0,0,0,1
-56.379,0,0,0,0,0,1
-58.507,0,0,0,0,0,1
-58.351,0,0,0,0,0,1
-55.573,0,0,0,0,0,1
-56.9,0,0,0,0,0,1
-56.065,0,0,0,0,0,1
-57.652,0,0,0,0,0,1
-56.089,0,0,0,0,0,0
-55.913,0,0,0,0,0,0
-56.512,0,0,0,0,0,0
-57.277,0,0,0,0,0,0
-57.05,0,0,1,0,0,0
-54.697,0,0,1,0,0,0
-54.693,0,0,1,0,0,0
-51.297,0,0,1,0,0,0
-48.893,0,0,1,0,0,0
-46.995,0,0,1,0,0,0
-51.825,0,0,1,0,0,0
-56.49,0,0,1,0,0,0
-55.187,0,0,1,0,0,0
-59.952,0,0,0,0,0,0
-58.351,0,0,0,0,0,0
-58.86,0,0,0,0,0,0
-55.071,0,0,0,0,0,0
-56.219,0,0,0,0,0,0
-56.331,0,0,0,0,0,0
-57.719,0,0,0,0,0,0
-58.635,0,1,0,0,0,0
-56.549,0,1,0,0,0,0
-56.654,0,1,1,0,0,0
-52.553,0,1,1,0,0,0
-47.937,0,0,1,0,0,0
-43.789,0,0,1,0,0,0
-42.686,0,0,1,0,0,0
-42.771,0,0,1,0,0,0
-41.237,0,0,1,0,0,0
-41.071,0,0,1,0,0,0
-47.567,0,0,1,0,0,0
-55.757,0,0,1,0,0,0
-54.459,0,0,1,0,0,0
-57.862,0,0,0,0,0,0
-57.796,0,0,0,0,0,0
-58.236,1,0,0,0,0,0
-53.861,1,0,0,0,0,0
-53.331,1,0,0,0,0,0
-56.275,1,0,0,0,0,0
-53.78,1,0,0,0,0,0
-58.167,1,0,0,0,0,0
-59.297,1,0,0,0,0,0
-55.433,1,0,0,0,0,0
-55.32,1,0,0,0,0,0
-55.284,1,0,0,0,0,0
-53.356,1,0,0,0,0,0
-57.043,1,0,0,0,0,0
-57.346,1,0,0,0,0,0
-58.257,0,0,1,0,0,0
-54.591,0,0,1,0,0,0
-50.559,0,0,1,0,0,0
-48.686,0,0,1,0,0,0
-46.299,0,0,1,0,0,0
-46.068,0,0,1,0,0,0
-48.386,0,0,1,0,0,0
-52.633,0,0,1,0,0,0
-53.029,0,0,1,0,0,0
-57.273,0,0,1,0,0,0
-55.425,0,0,0,0,0,0
-55.869,0,0,0,0,0,0
-54.404,0,0,0,0,1,0
-55.885,0,0,0,0,1,0
-56.498,0,0,0,0,1,0
-55.298,0,0,0,0,1,0
-53.432,0,0,0,0,1,0
-47.834,0,0,0,0,1,0
-50.596,0,0,0,0,1,0
-48.496,0,0,0,0,1,0
-47.675,0,0,0,0,1,0
-50.565,0,0,0,0,1,0
-53.742,0,0,0,0,1,0
-52.64,0,0,0,0,1,0
-51.481,0,0,0,0,1,0
-51.725,0,0,0,0,1,0
-54.247,0,0,0,0,1,0
-50.659,0,0,0,0,1,0
-52.397,0,1,0,0,1,0
-54.639,0,1,0,0,1,0
-54.863,0,1,0,0,1,0
-55.299,0,0,0,0,1,0
-56.846,0,0,0,0,1,0
-56.938,0,0,0,0,1,0
-54.979,0,0,0,0,1,0
-53.584,0,0,0,0,1,0
-55.697,0,0,0,0,1,0
-56.781,0,0,0,0,1,0
-58.523,0,0,0,0,1,0
-56.258,0,0,0,0,1,0
-58.402,0,0,0,0,1,0
-56.985,0,0,0,0,1,0
-58.156,0,0,0,0,1,0
-55.165,0,0,0,0,1,0
-54.819,0,0,0,0,1,0
-57.478,0,0,0,0,0,0
-58.542,0,0,0,0,0,0
-58.913,0,0,0,0,0,0
-56.248,0,0,0,0,0,0
-54.604,0,0,0,0,0,0
-56.794,0,0,0,0,0,0
-55.408,0,0,0,0,0,0
-58.465,0,0,0,0,0,0
-55.673,0,0,0,0,0,0
-55.259,0,0,0,0,0,0
-57.409,0,0,0,0,0,0
-54.827,0,0,0,0,0,0
-55.935,0,0,0,0,0,0
-55.645,0,0,0,0,0,0
-57.058,0,0,0,0,0,0
-56.781,0,0,0,0,0,0
-59.165,0,0,0,0,0,0
-59.213,0,0,0,0,0,0
-56.742,0,0,0,0,0,0
-59.687,0,0,0,0,0,0
-56.428,0,0,0,0,0,0
-58.634,0,0,0,0,0,0
-58.055,0,0,0,0,0,0
-55.479,0,0,0,0,0,0
-53.667,0,0,0,0,0,0
-55.308,0,0,0,0,0,0
-58.12,0,0,0,0,0,0
-57.55,0,0,0,0,0,0
-58.442,0,0,0,0,0,0
-54.417,0,0,0,0,0,0
-55.711,0,0,0,0,0,0
-55.302,0,0,0,0,0,0
-54.141,0,0,0,0,0,0
-56.91,0,0,0,0,0,1
-50.715,0,0,0,0,0,1
-51.268,0,0,0,0,0,1
-55.587,0,0,0,0,0,1
-56.92,0,0,0,0,0,1
-56.912,0,1,0,0,0,1
-57.573,0,1,0,0,0,1
-54.944,0,1,0,0,0,1
-54.608,0,0,0,0,0,1
-54.836,0,0,0,0,0,1
-52.67,0,0,0,0,0,1
-56.516,0,0,0,0,0,1
-53.497,0,0,0,0,0,1
-54.062,0,0,0,0,0,1
-55.233,0,0,0,0,0,1
-53.546,0,0,0,0,0,1
-55.152,0,0,0,0,0,1
-55.81,0,0,0,0,0,1
-56.924,0,0,0,0,0,1
-54.651,0,0,0,0,0,1
-56.383,0,0,0,0,0,1
-54.046,0,0,0,0,0,1
-54.904,0,0,0,0,0,1
-56.763,0,0,0,0,0,1
-54.281,0,0,0,0,0,1
-55.904,0,0,0,0,0,1
-56.127,0,0,0,0,0,1
-56.73,0,0,0,0,0,1
-56.923,0,0,0,0,0,1
-57.274,0,1,0,0,0,1
-55.133,0,1,0,0,0,1
-54.744,0,1,0,0,0,1
-54.184,0,1,0,0,0,1
-55.499,0,0,0,0,0,1
-57.1,0,0,0,0,0,1
-55.816,0,0,0,0,0,1
-56.485,0,0,0,0,0,1
-54.537,0,0,0,0,0,1
-53.15,0,0,0,0,0,1
-56.028,0,0,0,0,0,1
-49.967,0,0,0,0,0,1
