CallId	AudioReadingID	Hits	PeriodicHits	BestCallScore	BestScoreLocation
2	D1B0C88E-EDED-4435-B0C6-AB9067FC610E	31	12	14	8136
2	285F2054-52A2-4734-AF76-AB9CAF46B9CF	3	0	0	0
2	27430B2D-EF46-4D51-9049-B03218381CE9	40	4	4	8842
2	94129DA4-E12F-43AB-B226-B4F83E1C89E4	35	6	4	3269
2	A63EE8F1-EB46-4D7D-A777-B6BF9D203443	1	0	0	0
2	90BAB0F8-C88C-4D00-846A-B9C2D1B57307	41	14	10	13857
2	F7443AAD-4EED-4748-979E-C037BEDEFBFB	26	6	8	21436
2	A7690FBF-9108-4BA9-93DC-C2C04785EBC7	6	2	0	0
2	60AC9583-4805-4A69-9C15-C39034DED751	24	4	2	18761
2	1E8631A5-0AB6-4433-B329-D541C457F016	3	0	0	0
2	139D7F18-D28B-47F5-BC68-D82BFDE911BB	3	0	0	0
2	127265D7-2EC7-43C5-B782-DBD53E7CFBC8	2	0	0	0
2	1B896262-8C11-4565-9394-DBFFD64F4CB0	2	0	0	0
2	BFFF18EF-DB13-4519-B7CF-DDA0B701256D	5	0	0	0
2	6239DDB2-D418-46FC-AAE6-E0FCD3729DE7	60	13	24	15603
2	96FE72FA-CE1A-4CA2-8756-E3E94A51F53D	27	11	22	2637
2	2D806130-55C4-4F92-9B32-FCAA2B3CA886	7	0	0	0
2	18ACAA2A-10D7-4902-9634-005BE0092A15	9	1	2	3269
2	BBD3E78F-D05F-4418-A58C-00616A40056D	17	6	6	3009
2	FB5EB293-A719-44D5-B5C2-019A99498E01	13	1	2	3083
2	64CE1C58-4D55-4FD8-BBA1-01EA327B1A40	16	1	2	10513
2	E274FC89-3BAE-4472-8446-0380BAE2C2FB	22	3	2	16755
2	D23F5369-2E1F-4B7A-8042-0E5F7D97FF92	27	4	6	13597
2	78F87304-C1EA-4E44-809F-0EBD8663ACA8	19	1	2	26526
2	2E9240FD-88E3-40A4-A9BE-0F4E09A529FF	31	12	12	8730
2	F2783CBD-5793-48EF-903A-149522F38813	19	3	6	2786
2	061D1783-2354-4DDA-9A8E-17C7CBCFDE9C	52	13	9	3009
2	5156DDD4-C5BC-4179-A9F4-182DF1804B80	5	0	0	0
2	47882D9A-8DFF-416B-A897-1A0014B448EB	18	1	0	0
2	B5564BDB-18DD-4E73-AC06-1AD7F67F813B	9	0	0	0
2	B4E8CA01-037F-4F82-9EB1-1F0CC1FD0455	9	0	0	0
2	023F94DB-D111-4138-8C85-1FE6D5A66B29	6	0	0	0
2	1488606C-B6DE-4C73-B624-2245E988FA61	17	5	10	27158
2	891EE673-6AB5-4CE8-8462-2493CD93DF30	14	1	2	23740
