5.166440	5.294150	3703.710938	4048.242188
5.421859	5.619229	3531.445313	4005.175781
5.746939	5.839819	3875.976563	4134.375000
5.979138	6.199728	3875.976563	4220.507813
6.315828	6.420317	3962.109375	4306.640625
6.559637	6.780227	4048.242188	4392.773438
6.896327	7.024036	4220.507813	4565.039063
7.151746	7.337506	4306.640625	4651.171875
7.709025	7.918005	4392.773438	4995.703125
8.045714	8.161814	4478.906250	4780.371094
8.312744	8.521723	4478.906250	4823.437500
8.870023	8.962902	4694.238281	4866.503906
