ID,LatinName,CommonName,SyllableType,SyllableDuration-ms,DominantFreq-Hz,OscRate-cyclesPerSec,SyllableRepeatRate,Start-seconds
93,Litoria infrafrenata,White lipped green tree frog,ribit/toc,120,710,710,3,0
94,Litoria longirostris,Long-snouted frog,toc,40,5000,5000,0.2,0
95,Litoria microbelos,Minute tree frog,ribit,210,7100,120,0.5,0
96,Litoria nannotis,Waterfall frog,toc,50,1100,1100,0.5,0
97,Litoria nigrofrenata,Poorly rocket frog,ribit,200,3000,245,1,0
98,Litoria nyakalensis,Mountain mist frog,ribit,590,2100,27,0.2,0
99,Litoria pallida,Pallid rocket frog,ribit,490,1760,200,0.5,0
100,Litoria rheocola,Common mist frog,ribit,560,2600,80,1,0
101,Litoria xanthomera,Orange thighed green tree frog,ribit,900,2100,200,0.7,0
102,Nyctimistes dayi,Australian laceley,ribit,400,2300,110,0.3,0
103,Cophixalus bombiens,Windsor nursary frog,ribit,600,4200,130,0.1,0
104,Cophixalus concinnus,Tapping nursary frog,ribit,2700,2800,12,0.05,0
105,Cophixalus crepitans,Northern nursary frog,ribit,1600,4750,19,0.05,0
106,Cophixalus exiguus,Big tableland nursary frog,ribit,1050,3600,14,0.01,0
107,Cophixalus hosmeri,Rattling nursary frog,ribit,1200,4600,26,0.1,0
108,Cophixalus infacetus,Palmerston nursary frog,ribit,1100,3550,64,0.1,0
109,Cophixalus monticola,Mountain top nursary frog,ribit,650,2800,32,0.1,0
110,Cophixalus neglectus,Ballendencur nursary frog,ribit,500,2900,150,0.1,0
111,Cophixalus ornatus,Ornate nursary frog,ribit,550,2500,275,0.2,0
112,Cophixalus saxatilis,Black Mountain nursary frog,ribit/toc,1800,1400,5,0.1,0
112,Cophixalus saxatilis,Black Mountain nursary frog,ribit/toc,3800,1800,10,0.1,0
113,Sphenophryne fryi,Daintree whistling frog,whistle,85,2850,2850,6,0
114,Sphenophryne gracilipes,Shrill whistling frog,whistle,190,3800,3800,2,0
115,Sphenophryne pluvialis,White browed whistling frog,ribit,1300,2800,14,0.1,0
116,Sphenophryne robusta,Robust whistling frog,whistle,145,2870,2870,2,0
117,Rana daemeli,Australian wood frog,ribit,2000,2300,2,0.2,0
